Main form,Main form
abondance des espèces,species abundance
absorption du carbone,carbon uptake
accroissement de la population,Population growth
accumulation de carbone,carbon accumulation
acides gras,fatty acids
acidification,acidification
acidification des océans,ocean acidification
activité microbienne,microbial activity
activités enzymatiques,enzyme activities
adaptation au changement climatique,climate adaptation
adaptation au changement climatique,climate change adaptation
âge de glace,ice age
agriculture,farming
aide à la décision,decision support
aire géographique,geographic range
aires protégées,protected areas
albédo,surface albedo
alerte précoce,early warning
altitudes inférieures,lower elevations
altitudes plus élevées,higher altitudes
aménagement du territoire,spatial planning
aménagement urbain,urban planning
analyse de l'incertitude,uncertainty analysis
analyse de risque,risk analysis
analyse de tendances,trend analysis
analyse des séries chronologiques,time-series analysis
anomalies de température,temperature anomalies
Antarctique,Antarctic
antioxydant,antioxidant
apport de sédiments,sediment yield
approvisionnement en eau,water supply
arbres de régression,regression trees
arbres forestiers,forest trees
aridité,aridity
atténuation du changement climatique,climate change mitigation
augmentation de la température,temperature increase
augmentation des précipitations,precipitation increase
augmentations des rendements,yield increases
azote total,total nitrogen
bactéries,bacteria
basse température,low temperature
basses latitudes,low latitudes
bassin de la rivière,river basin
bassin versant,watershed
bassins de carbone,carbon pools
besoins en eau,water requirements
bétail,livestock
bien-être,well-being
bilan carbone,carbon balance
bilan énergétique,energy balance
bilan massique,mass balance
biocarburants,biofuels
biochar,biochar
biodiesel,biodiesel
biodiversité,biodiversity
bioénergie,bioenergy
biomarqueurs,biomarkers
biomasse forestière,forest biomass
biomasse microbienne,microbial biomass
biomasse souterraine,ground biomass
biomasse végétale,plant biomass
biomes,biomes
blé d'hiver,winter wheat
bois,woodland
budget carbone,carbon budget
budget de dépense énergétique,energy budget
budgets pour l'eau,water budget
calotte glaciaire,ice sheet
canopée,canopy
capacité d'adaptation,adaptive capacity
capacité de stockage,storage capacity
captage du CO2,CO2 capture
carbone de l'écosystème,ecosystem carbon
carbone de la biomasse,biomass carbon
carbone du sol,soil carbon
carbone forestier,forest carbon
carbone inorganique,inorganic carbon
carbone organique,organic carbon
carbone organique du sol,soil organic carbon
carotte de sédiment,sediment core
centrales,power plants
chaîne alimentaire ,food web
chaîne d'approvisionnement,supply chain
chaleur et sécheresse,heat and drought
chaleur extrème,extreme heat
changement climatique anthropique,anthropogenic climate change
changement climatique prévu,projected climate change
changement climatique régional,regional climate change
changement de comportement,behavior change
changement de la communauté,community change
changement de température,temperature change
changement du niveau de la mer,sea-level change
changement politique,change policy
changements brusques,abrupt changes
changements de gamme,range shifts
changements de la couverture terrestre,land-cover change
changements de précipitations,precipitation changes
changements des ruissellements,runoff changes
changements environnementaux,environmental change
changements hydrologiques,hydrological changes
changements observés,observed changes
changements potentiels,potential changes
changements prévus,projected changes
charbon de bois,charcoal
charge sédimentaire,sediment load
chêne vert,ilex
chlorophylle,chlorophyll
choc thermique,heat shock
pluies,rainfall
circulation atmosphérique,atmospheric circulation
circulation océanique,ocean circulation
climat du passé,past climate
climat régional,regional climate
co-bénéfices,co-benefits
CO2 atmosphérique,atmospheric CO2
CO2 du sol,soil CO2
CO2 élevé,elevated CO2
colonisation,colonization
colonne d'eau,water column
combustibles fossiles,fossil fuels
communauté de phytoplancton,phytoplankton community
communautés côtières,coastal communities
communautés de poissons,fish assemblages
communautés fongiques,fungal communities
communautés microbiennes,microbial communities
communautés microbiennes du sol,soil microbial communities
communautés végétales,plant communities
composition des espèces,species composition
concentration de CO2,CO2 concentration
concentration en chlorophylle a,chlorophyll-a concentration
conditions météorologiques,weather conditions
conditions météorologiques extrêmes,extreme weather
conductance stomatique,stomatal conductance
confiance,trust
confort thermique,thermal comfort
conservation de l'eau,water conservation
conservation de la biodiversité,biodiversity conservation
consommation d'eau,water consumption
consommation d'énergie,energy use
consommation d'énergie,energy consumption
contamination,contamination
contrainte thermique,thermal stress
copépodes,copepods
couches du sol,soil layers
couverture corallienne,coral cover
couverture de glace,ice cover
couverture forestière,forest cover
couverture neigeuse,snow cover
Couverture terrestre,Land cover
couverture végétale,vegetation cover
croissance de la végétation,vegetation growth
croissance des arbres,tree growth
croissance des cultures,crop growth
croissance des forêts,forest growth
croissance des plantes,plant growth
croissance économique,economic growth
croissance et la survie,growth and survival
croissance radiale,radial growth
cyanobactéries,cyanobacteria
cycle de l'eau,water cycle
cycle de la vie,life cycle
cycle des éléments nutritifs,nutrient cycling
cycle du carbone,carbon cycle
cycle hydrologique,hydrological cycle
cycle mondial du carbone,global carbon cycle
cycle saisonnier,seasonal cycle
cycles biogéochimiques,biogeochemical cycles
cycles biologiques,life history
cyclones tropicaux,tropical cyclones
débit d'eau,water flow
débit de la rivière,river discharge
débit de la rivière,river flow
décisions de gestion,management decisions
déclin de la population,population declines
décomposition de la litière,litter decomposition
déficit en eau,water deficit
défis majeurs,serious challenges
déforestation,deforestation
dégel du pergélisol,permafrost thaw
dégradation de l'environnement,environmental degradation
dégradation des forêts,forest degradation
dégradation des terres,land degradation
demande d'énergie,energy demand
demande en eau,water demand
des scénarios climatiques futurs,future climate scenarios
désertification,desertification
développement durable,sustainable development
développement économique,economic development
différenciation génétique,genetic differentiation
diminution de la couche d'ozone,ozone depletion
dinoflagellés,dinoflagellate
dispersion des graines,seed dispersal
disponibilité de l'eau,water availability
disponibilité des nutriments,nutrient availability
distribution de potentiel,potential distribution
distribution de probabilité,probability distribution
diversité des espèces,species diversity
diversité fonctionnelle,functional diversity
diversité génétique,Genetic diversity
diversité phylogénétique,phylogenetic diversity
diversité végétale,plant diversity
données à long terme,long-term data
données climatiques,climate data
données de réanalyse,reanalysis data
données de température,temperature data
données des modèles,model data
données environnementales,environmental data
données météorologiques,meteorological data
données météorologiques,weather data
données observées,observed data
données par satellite,satellite data
données sur les précipitations,precipitation data
downscaling,downscaling
droits de l'homme,human rights
durabilité,sustainability
durabilité environnementale,environmental sustainability
dynamique de la végétation,vegetation dynamics
dynamique des populations,population dynamics
dynamique du carbone,carbon dynamics
eau d'irrigation,irrigation water
eau de rivière,river water
eau des lacs,lake water
eau douce,fresh water
eau du sol,soil water
eau potable,drinking water
eaux de surface,surface water
eaux plus chaudes,warmer waters
eaux souterraines,ground water
écart de température,temperature range
échange de gaz,gas exchange
échange de quotas d'émissions,emissions trading
échantillons de sol,soil samples
échelle régionale,regional scale
échelles de temps,timescales
échelles de temps plus longues,longer time scales
économie d'énergie,energy saving
écosystème,ecosystem
écosystèmes côtiers,coastal ecosystems
écosystèmes d'eau douce,freshwater ecosystems
écosystèmes des prairies,grassland ecosystems
écosystèmes des récifs,reef ecosystems
écosystèmes forestiers,forest ecosystems
écosystèmes marins,marine ecosystems
écosystèmes terrestres,terrestrial ecosystems
ecotone,ecotone
ectothermes,ectotherms
effet positif,positive effect
effets d'interaction,interactive effects
effets de la température,temperature effects
effets du réchauffement,warming effects
effets du réchauffement climatique,effects of global warming
effets négatifs,negative effects
effets sur la santé,health effects
efficacité de l'utilisation de l'eau ,water-use efficiency
efficacité énergétique,energy efficiency
efflux de CO2,CO2 efflux
élaboration de politiques,policy development
élaboration des politiques,policy-making
éléments nutritifs du sol,soil nutrient
élévation du niveau de la mer,sea-level rise
émissions de carbone,carbon emissions
émissions de CO2,CO2 emissions
émissions de CO2 des sols,soil CO2 emissions
émissions de gaz,gas emissions
émissions de gaz à effet de serre,greenhouse gas emissions
émissions de méthane,methane emissions
émissions provenant de la déforestation,emissions from deforestation
empreinte carbone,carbon footprint
empreinte hydrique,water footprint
énergie de surface,surface energy
énergie éolienne,wind energy
énergie éolienne,wind power
énergie nucléaire,nuclear power
énergie renouvelable,renewable energy
énergie solaire,solar energy
enrichissement en CO2,CO2 enrichment
ensemble multimodèle,multimodel ensemble
environnement urbain,urban environment
épidémies,epidemics
érosion,erosion
érosion des sols,soil erosion
espèces d'arbres,tree species
espèces d'oiseaux,bird species
espèces de corail,coral species
espèces de poissons,fish species
espèces dominantes,dominant species
espèces en voie de disparition,endangered species
espèces endémiques,endemic species
espèces envahissantes,invasive species
espèces exotiques,exotic species
espèces indigènes,native species
espèces végétales,plant species
étiages,low flows
évaluation de l'impact,impact assessment
évaluation de la vulnérabilité,vulnerability assessment
évaluation du cycle de vie,Life cycle assessment
évaporation,evaporation
évapotranspiration,evapotranspiration
évapotranspiration potentielle,potential evapotranspiration
événements extrêmes,extreme events
événements météorologiques,weather events
événements pluvieux,rainfall events
évolution des forêts,forest change
expérience sur le terrain,field experiment
expression du gène,gene expression
extinction,extinction
facteurs abiotiques,abiotic factors
facteurs d'émission,emission factors
facteurs de changement,change drivers
facteurs de risque,risk factors
facteurs environnementaux,environmental factors
facteurs environnementaux,environmental drivers
faible coût,low cost
faible teneur en carbone,low-carbon
faune,wildlife
fécondité,fecundity
fertilité des sols,soil fertility
feuilles mortes,leaf litter
fin du 21e siècle,end of the 21st century
fluorescence de la chlorophylle,chlorophyll fluorescence
flux de carbone,carbon fluxes
flux de chaleur,heat flux
flux de CO2,CO2 fluxes
flux de gènes,gene flow
flux environnementaux,environmental flows
fonction de l'écosystème,ecosystem function
fonctionnement de l'écosystème,ecosystem functioning
fonte des neiges,snowmelt
forêt,forest
forêts de mangrove,mangrove forests
forêts tempérées,temperate forests
fortes précipitations,heavy rainfall
gaz a effet de serre,greenhouse gas
gaz de schiste,shale gas
gaz naturel,natural gas
gène,gene
génétique des populations,population genetic
gestion de l'eau,water management
gestion des forêts,forest management
gestion des pêcheries,fisheries management
gestion des ressources,resource management
gestion des ressources en eau,water resources management
gestion des risques,risk management
gestion des terres,land management
gestion du littoral,coastal management
gestion durable,sustainable management
glace de mer,sea-ice
gouvernance de l'eau,water governance
gouvernement local,local government
gradient d'altitude,altitudinal gradient
gradient d'élévation,elevation gradient
gradient de température,temperature gradient
gradients environnementaux,environmental gradients
graine,seed
grandes incertitudes,large uncertainties
groupes de discussion,focus groups
groupes fonctionnels,functional groups
habitat convenable,suitable habitat
hausse de température,temperature rise
haute temperature,High temperature
hautes latitudes,high latitudes
hauteur des vagues,wave height
hotspots de la biodiversité,biodiversity hotspots
humidité,humidity
humidité du sol,soil moisture
humidité relative,relative humidity
îlot de chaleur urbain,urban heat island
impacts du changement climatique,climate-change impacts
impacts potentiels du changement climatique,potential impacts of climate change
impacts sur la santé,health impacts
implications politiques,policy implications
impôt,tax
incendies,fire
incertitude climatique,climate uncertainty
indice de surface foliaire,leaf area index
indice de végétation,vegetation index
inondations et sécheresses,floods and droughts
insecte,pest
insecte,insect
insécurité,insecurity
insécurité alimentaire,food insecurity
instruments politiques,policy instruments
interactions biotiques,biotic interactions
interactions entre les espèces,species interactions
invasions biologiques,biological invasions
inventaire forestier,forest inventory
irrigation,irrigation
isotope de carbone,carbon isotope
l'équilibre de l'eau,water balance
l'océan et l'atmosphère,ocean and atmosphere
la biomasse aérienne,above-ground biomass
lacs peu profonds,shallow lakes
larves,larvae
Les émissions de GES,GHG emissions
littoral,shoreline
long terme,long run
maladies infectieuses,infectious diseases
mammifères,mammals
marais salant,salt marsh
marchés du carbone,carbon markets
masses d'eau,water masses
matière organique,organic matter
matière organique du sol,soil organic matter
matière organique du sol,soil organic
matières premières,feedstock
mesures d'atténuation,mitigation measures
mesures de gestion,management actions
méthane,methane
microbes,microbes
microbienne du sol,soil microbial
microorganismes,microorganisms
migrants,migrants
milieu marin,marine environment
milieux aquatiques,aquatic environments
modèle climatique régional,regional climate model
modèle de réduction d'échelle,downscaling model
modèle de végétation,vegetation model
modèle hydrologique,hydrological model
modèle hydrologique,hydrologic model
modèle numérique,numerical model
modèles climatiques,Climate Models
modèles d'évaluation intégrés,integrated assessment models
modèles de circulation,circulation models
modèles de circulation générale,general circulation models
modèles de culture,crop models
modèles de niche,niche models
modèles de population,population models
modèles de répartition des espèces,species distribution models
modèles du système terrestre,earth system models
modèles linéaires,linear models
modèles statistiques,statistical models
mousson,monsoon
mousson d'été,summer monsoon
multiples facteurs de stress,multiple stressors
nitrate,nitrate
niveau d'eau,water level
niveau de la mer,sea level
niveau de la population,population level
niveau du lac,lake level
niveau hydrostatique,water table
niveau local,local level
niveau moyen de la mer,mean sea level
niveau national,national level
niveaux de CO2,CO2 levels
niveaux trophiques,trophic levels
